T26,Population employed in research and development (R&D),,,,,
40,Austria,2017,R & D personnel: Technicians - women (number in full-time equivalent),"4,893",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,133",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,239",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2018,R & D personnel: Total (number in full-time equivalent),"81,534",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2018,R & D personnel: Researchers - total (number in full-time equivalent),"50,975",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Total (number in full-time equivalent),"18,164",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Researchers - total (number in full-time equivalent),"11,603",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Researchers - women (number in full-time equivalent),"6,056",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,825",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,086",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Total (number in full-time equivalent),"17,924",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Researchers - total (number in full-time equivalent),"11,037",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Researchers - women (number in full-time equivalent),"6,101",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,819",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,087",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,531",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,866",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,R & D personnel: Total (number in full-time equivalent),"23,093",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,R & D personnel: Researchers - total (number in full-time equivalent),"16,137",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,R & D personnel: Researchers - women (number in full-time equivalent),"8,849",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,R & D personnel: Technicians - total (number in full-time equivalent),"1,881",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,R & D personnel: Technicians - women (number in full-time equivalent),"1,005",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,571",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,378",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,R & D personnel: Total (number in full-time equivalent),"20,179",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,R & D personnel: Researchers - total (number in full-time equivalent),"14,412",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,R & D personnel: Researchers - women (number in full-time equivalent),"8,441",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,R & D personnel: Technicians - total (number in full-time equivalent),"1,771",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,R & D personnel: Technicians - women (number in full-time equivalent),983,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
